epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,178.872,1.2751,0.30756,0.35429,5.71505,5.72695e-05,5.72695e-05,5.72695e-05
2,356.491,0.32716,0.31665,0.34899,6.75683,9.19115e-05,9.19115e-05,9.19115e-05
3,535.477,0.27211,0.32311,0.34926,7.36907,0.000103849,0.000103849,0.000103849
4,716.618,0.2291,0.3232,0.34917,8.02148,6.9832e-05,6.9832e-05,6.9832e-05
5,896.541,0.19324,0.32421,0.34905,8.43853,3.5776e-05,3.5776e-05,3.5776e-05
